"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Arkansas"	"05"	"Apr., 2021 "	"2021/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2021 "	"2021/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021 "	"2021/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021 "	"2021/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	183	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021 "	"2021/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021 "	"2021/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021 "	"2021/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	34	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021 "	"2021/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	190	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021 "	"2021/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021 "	"2021/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021 "	"2021/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	52	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021 "	"2021/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	214	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021 "	"2021/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021 "	"2021/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	43	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021 "	"2021/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	194	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021 "	"2021/08"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021 "	"2021/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021 "	"2021/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021 "	"2021/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	170	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021 "	"2021/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021 "	"2021/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021 "	"2021/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	219	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021 "	"2021/10"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021 "	"2021/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	47	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021 "	"2021/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021 "	"2021/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	210	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021 "	"2021/11"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021 "	"2021/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	37	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021 "	"2021/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	60	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021 "	"2021/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	247	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021 "	"2021/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021 "	"2021/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	39	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	1672	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1714	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	180	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2018"	"2018/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	335	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	815	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1284	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	144	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2018"	"2018/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	279	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	761	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1441	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	182	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2018"	"2018/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	290	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	547	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1174	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	129	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2018"	"2018/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	235	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	430	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1102	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	124	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2018"	"2018/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	226	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	384	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	965	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	131	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2018"	"2018/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	211	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	355	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	976	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	108	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2018"	"2018/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	220	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	326	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	948	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	116	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2018"	"2018/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	230	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	316	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	907	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	108	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2018"	"2018/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	204	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	345	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	940	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2018"	"2018/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	209	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	443	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1006	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	136	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2018"	"2018/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	239	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	523	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1177	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	139	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2018"	"2018/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	274	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	736	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1280	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	154	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2019"	"2019/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	312	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	624	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1197	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	146	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2019"	"2019/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	250	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	711	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1322	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	150	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2019"	"2019/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	318	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2019"	"2019/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	483	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2019"	"2019/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1178	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2019"	"2019/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	122	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2019"	"2019/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	267	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2019"	"2019/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	424	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2019"	"2019/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1077	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2019"	"2019/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	135	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2019"	"2019/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	244	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2019"	"2019/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	395	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2019"	"2019/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1049	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2019"	"2019/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	135	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2019"	"2019/06"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	231	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2019"	"2019/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	369	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2019"	"2019/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	990	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2019"	"2019/07"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	103	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2019"	"2019/07"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	214	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2019"	"2019/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	322	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2019"	"2019/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	893	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2019"	"2019/08"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	95	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2019"	"2019/08"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	254	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2019"	"2019/09"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	298	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2019"	"2019/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	877	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2019"	"2019/09"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	102	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2019"	"2019/09"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	209	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2019"	"2019/10"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	361	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2019"	"2019/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1051	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2019"	"2019/10"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	144	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2019"	"2019/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	264	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2019"	"2019/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	398	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2019"	"2019/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1024	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2019"	"2019/11"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	123	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2019"	"2019/11"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	232	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2019"	"2019/12"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	543	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2019"	"2019/12"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1158	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2019"	"2019/12"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	154	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2019"	"2019/12"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	276	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	829	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1268	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	162	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	362	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	769	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1290	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	132	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	275	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	825	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1293	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	147	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	289	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	548	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1195	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	122	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	250	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	378	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	1063	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	99	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	209	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2020"	"2020/06"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	362	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2020"	"2020/06"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	922	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2020"	"2020/06"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	111	Not Applicable	Not Applicable	Not Applicable	Not Applicable
